canonical_id,primary_alias,aliases,asset_family,subfamily,implementation_type,base,quote,country_or_region,venue_or_provider,benchmark,timezone,adapter_id,coverage_status,data_requirement,metadata_valid_from,metadata_valid_to,active
FX.SPOT.NOKSEK,NOKSEK,NOKSEK|NOK/SEK,FX,bilateral_spot,spot_fx,NOK,SEK,bilateral,OTC,NOKSEK,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURNOK,EURNOK,EURNOK|EUR/NOK,FX,bilateral_spot,spot_fx,EUR,NOK,bilateral,OTC,EURNOK,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURSEK,EURSEK,EURSEK|EUR/SEK,FX,bilateral_spot,spot_fx,EUR,SEK,bilateral,OTC,EURSEK,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDNOK,USDNOK,USDNOK|USD/NOK,FX,bilateral_spot,spot_fx,USD,NOK,bilateral,OTC,USDNOK,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDSEK,USDSEK,USDSEK|USD/SEK,FX,bilateral_spot,spot_fx,USD,SEK,bilateral,OTC,USDSEK,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDMXN,USDMXN,USDMXN|USD/MXN,FX,bilateral_spot,spot_fx,USD,MXN,bilateral,OTC,USDMXN,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDZAR,USDZAR,USDZAR|USD/ZAR,FX,bilateral_spot,spot_fx,USD,ZAR,bilateral,OTC,USDZAR,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDTRY,USDTRY,USDTRY|USD/TRY,FX,bilateral_spot,spot_fx,USD,TRY,bilateral,OTC,USDTRY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDBRL,USDBRL,USDBRL|USD/BRL,FX,bilateral_spot,spot_fx,USD,BRL,bilateral,OTC,USDBRL,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDCLP,USDCLP,USDCLP|USD/CLP,FX,bilateral_spot,spot_fx,USD,CLP,bilateral,OTC,USDCLP,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDCOP,USDCOP,USDCOP|USD/COP,FX,bilateral_spot,spot_fx,USD,COP,bilateral,OTC,USDCOP,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDCNH,USDCNH,USDCNH|USD/CNH,FX,bilateral_spot,spot_fx,USD,CNH,bilateral,OTC,USDCNH,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDCNY,USDCNY,USDCNY|USD/CNY,FX,bilateral_spot,spot_fx,USD,CNY,bilateral,OTC,USDCNY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDHKD,USDHKD,USDHKD|USD/HKD,FX,bilateral_spot,spot_fx,USD,HKD,bilateral,OTC,USDHKD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDSGD,USDSGD,USDSGD|USD/SGD,FX,bilateral_spot,spot_fx,USD,SGD,bilateral,OTC,USDSGD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDKRW,USDKRW,USDKRW|USD/KRW,FX,bilateral_spot,spot_fx,USD,KRW,bilateral,OTC,USDKRW,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDINR,USDINR,USDINR|USD/INR,FX,bilateral_spot,spot_fx,USD,INR,bilateral,OTC,USDINR,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDIDR,USDIDR,USDIDR|USD/IDR,FX,bilateral_spot,spot_fx,USD,IDR,bilateral,OTC,USDIDR,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDMYR,USDMYR,USDMYR|USD/MYR,FX,bilateral_spot,spot_fx,USD,MYR,bilateral,OTC,USDMYR,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDTHB,USDTHB,USDTHB|USD/THB,FX,bilateral_spot,spot_fx,USD,THB,bilateral,OTC,USDTHB,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDPHP,USDPHP,USDPHP|USD/PHP,FX,bilateral_spot,spot_fx,USD,PHP,bilateral,OTC,USDPHP,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDPLN,USDPLN,USDPLN|USD/PLN,FX,bilateral_spot,spot_fx,USD,PLN,bilateral,OTC,USDPLN,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDCZK,USDCZK,USDCZK|USD/CZK,FX,bilateral_spot,spot_fx,USD,CZK,bilateral,OTC,USDCZK,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDHUF,USDHUF,USDHUF|USD/HUF,FX,bilateral_spot,spot_fx,USD,HUF,bilateral,OTC,USDHUF,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDILS,USDILS,USDILS|USD/ILS,FX,bilateral_spot,spot_fx,USD,ILS,bilateral,OTC,USDILS,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDSAR,USDSAR,USDSAR|USD/SAR,FX,bilateral_spot,spot_fx,USD,SAR,bilateral,OTC,USDSAR,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDAED,USDAED,USDAED|USD/AED,FX,bilateral_spot,spot_fx,USD,AED,bilateral,OTC,USDAED,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURPLN,EURPLN,EURPLN|EUR/PLN,FX,bilateral_spot,spot_fx,EUR,PLN,bilateral,OTC,EURPLN,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURHUF,EURHUF,EURHUF|EUR/HUF,FX,bilateral_spot,spot_fx,EUR,HUF,bilateral,OTC,EURHUF,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURCZK,EURCZK,EURCZK|EUR/CZK,FX,bilateral_spot,spot_fx,EUR,CZK,bilateral,OTC,EURCZK,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURTRY,EURTRY,EURTRY|EUR/TRY,FX,bilateral_spot,spot_fx,EUR,TRY,bilateral,OTC,EURTRY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURZAR,EURZAR,EURZAR|EUR/ZAR,FX,bilateral_spot,spot_fx,EUR,ZAR,bilateral,OTC,EURZAR,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.AUDCNH,AUDCNH,AUDCNH|AUD/CNH,FX,bilateral_spot,spot_fx,AUD,CNH,bilateral,OTC,AUDCNH,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.CNHJPY,CNHJPY,CNHJPY|CNH/JPY,FX,bilateral_spot,spot_fx,CNH,JPY,bilateral,OTC,CNHJPY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.SGDJPY,SGDJPY,SGDJPY|SGD/JPY,FX,bilateral_spot,spot_fx,SGD,JPY,bilateral,OTC,SGDJPY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
CMD.CRUDE.WTI,WTI,WTI|CL,COMMODITY,crude_oil,future,,,global/regional,CME/NYMEX,CL,America/New_York,COMMODITY_ENERGY,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.CRUDE.BRENT,Brent,Brent|B,COMMODITY,crude_oil,future,,,global/regional,ICE,B,Europe/London,COMMODITY_ENERGY,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.OIL.DUBAI,Dubai Crude,Dubai,COMMODITY,crude_oil,benchmark,,,global/regional,Platts,Dubai,Asia/Dubai,COMMODITY_ENERGY,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.PROD.RBOB,RBOB Gasoline,RBOB|RB,COMMODITY,refined_products,future,,,global/regional,CME/NYMEX,RB,America/New_York,COMMODITY_REFINED,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.PROD.GASOIL,ICE Gasoil,Gasoil,COMMODITY,refined_products,future,,,global/regional,ICE,G,Europe/London,COMMODITY_REFINED,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.GAS.HH,Henry Hub Gas,Henry Hub|NG,COMMODITY,natural_gas,future,,,global/regional,CME/NYMEX,NG,America/New_York,COMMODITY_GAS_POWER,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.GAS.TTF,Dutch TTF,TTF,COMMODITY,natural_gas,future,,,global/regional,ICE Endex,TFM,Europe/Amsterdam,COMMODITY_GAS_POWER,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.GAS.JKM,JKM LNG,JKM,COMMODITY,lng,benchmark,,,global/regional,Platts,JKM,Asia/Singapore,COMMODITY_GAS_POWER,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.POWER.GERMANY,German Power,German Power,COMMODITY,power,future,,,global/regional,EEX,DEBY,Europe/Berlin,COMMODITY_GAS_POWER,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.EMISSIONS.EUA,EU Allowance,EUA,COMMODITY,emissions,future,,,global/regional,ICE,EUA,Europe/London,COMMODITY_GAS_POWER,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.METAL.GOLD,Gold,Gold|GC|XAUUSD,COMMODITY,precious_metals,future,,,global/regional,CME/COMEX,GC,America/New_York,COMMODITY_PRECIOUS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.METAL.SILVER,Silver,Silver|SI|XAGUSD,COMMODITY,precious_metals,future,,,global/regional,CME/COMEX,SI,America/New_York,COMMODITY_PRECIOUS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.METAL.PLATINUM,Platinum,Platinum|PL,COMMODITY,precious_metals,future,,,global/regional,CME/NYMEX,PL,America/New_York,COMMODITY_PRECIOUS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.METAL.PALLADIUM,Palladium,Palladium|PA,COMMODITY,precious_metals,future,,,global/regional,CME/NYMEX,PA,America/New_York,COMMODITY_PRECIOUS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.METAL.COPPER,COMEX Copper,Copper|HG,COMMODITY,base_metals,future,,,global/regional,CME/COMEX,HG,America/New_York,COMMODITY_METALS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.METAL.LME_CU,LME Copper,LME Copper|CA,COMMODITY,base_metals,future,,,global/regional,LME,CA,Europe/London,COMMODITY_METALS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.METAL.ALUMINUM,LME Aluminum,Aluminum|AH,COMMODITY,base_metals,future,,,global/regional,LME,AH,Europe/London,COMMODITY_METALS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.METAL.NICKEL,LME Nickel,Nickel|NI,COMMODITY,base_metals,future,,,global/regional,LME,NI,Europe/London,COMMODITY_METALS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.METAL.ZINC,LME Zinc,Zinc,COMMODITY,base_metals,future,,,global/regional,LME,Zinc,Europe/London,COMMODITY_METALS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.FERROUS.IRONORE,Iron Ore 62%,Iron Ore|IO62,COMMODITY,ferrous,benchmark,,,global/regional,Platts,IO62,Asia/Singapore,COMMODITY_METALS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.BATTERY.LITHIUM,Lithium Carbonate,Lithium,COMMODITY,battery_materials,benchmark,,,global/regional,Fastmarkets,LITH,Asia/Shanghai,COMMODITY_METALS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.GRAIN.CORN,Corn,Corn|ZC,COMMODITY,grains,future,,,global/regional,CBOT,ZC,America/Chicago,COMMODITY_AGRI,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.GRAIN.WHEAT,Chicago Wheat,Wheat|ZW,COMMODITY,grains,future,,,global/regional,CBOT,ZW,America/Chicago,COMMODITY_AGRI,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.GRAIN.KCWHEAT,KC HRW Wheat,KC Wheat|KE,COMMODITY,grains,future,,,global/regional,CBOT,KE,America/Chicago,COMMODITY_AGRI,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.OILSEED.SOY,Soybeans,Soybeans|ZS,COMMODITY,oilseeds,future,,,global/regional,CBOT,ZS,America/Chicago,COMMODITY_AGRI,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.OILSEED.SOYOIL,Soybean Oil,Soy Oil|ZL,COMMODITY,oilseeds,future,,,global/regional,CBOT,ZL,America/Chicago,COMMODITY_AGRI,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
